35009, Finished Airing, LIDENFILMS, Estudio-nao-listado, Manga, Action, Adventure, Demons, 24-min., R---17+-(violence-&amp;-profanity), 1, 6.13
35320, Finished Airing, NHK, Madhouse-Inc., Manga, Fantasy, Romance, Shoujo, 26-min., G---All-Ages, 1, 8.00
35330, Finished Airing, King-Records, Funimation, 4-koma-manga, Comedy, Parody, Dementia, 12-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.33
35333, Finished Airing, Tencent-Animation-&amp;-Comics, Estudio-nao-listado, Web-manga, Action, Super Power, Supernatural, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 24, 7.43
35338, Finished Airing, Aniplex, A-1-Pictures, Light-novel, Harem, Comedy, Romance, 22-min., PG-13---Teens-13-or-older, 1, 7.36
35376, Finished Airing, AT-X, Estudio-nao-listado, Manga, Comedy, School, Seinen, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.45
35427, Finished Airing, W-Toon-Studio, Funimation, Original, Comedy, Parody, School, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.54
35465, Finished Airing, XFLAG-Pictures, Estudio-nao-listado, Game, Action, Game, Music, 21-min., G---All-Ages, 1, 6.43
35466, Finished Airing, comico, Funimation, Web-manga, Romance, School, Slice of Life, 23-min.-per-ep., PG-13---Teens-13-or-older, 4, 8.29
35480, Finished Airing, Production-I.G, Production-I.G, Manga, Horror, School, Shounen, 3-min.-per-ep., R---17+-(violence-&amp;-profanity), 10, 5.57
35484, Finished Airing, VAP, Estudio-nao-listado, Web-manga, Comedy, Romance, Slice of Life, 3-min.-per-ep., PG-13---Teens-13-or-older, 13, 6.97
35507, Finished Airing, Studio-Hibari, Funimation, Light-novel, Slice of Life, Psychological, Drama, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.92
35512, Finished Airing, Pink-Pineapple, Estudio-nao-listado, Visual-novel, Harem, Hentai, School, 27-min.-per-ep., Rx---Hentai, 2, 7.25
35522, Finished Airing, Kadokawa-Shoten, Estudio-nao-listado, 4-koma-manga, Comedy, School, Slice of Life, 13-min.-per-ep., PG-13---Teens-13-or-older, 2, 6.74
35540, Finished Airing, Aniplex, Aniplex, 4-koma-manga, Comedy, School, Slice of Life, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.10
35557, Finished Airing, Mainichi-Broadcasting-System, Estudio-nao-listado, Manga, Action, Drama, Fantasy, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 8.44
35608, Finished Airing, Lantis, Kyoto-Animation, Light-novel, Comedy, Drama, Romance, 1-hr.-33-min., PG-13---Teens-13-or-older, 1, 8.24
35635, Finished Airing, XFLAG-Pictures, Estudio-nao-listado, Game, Action, Game, Music, 14-min.-per-ep., PG---Children, 5, 5.91
35639, Finished Airing, Sotsu, Estudio-nao-listado, Original, Slice of Life, Drama, Romance, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.36
35658, Finished Airing, Bandai-Visual, Production-I.G, Manga, Comedy, Sports, Shounen, 2-min., PG-13---Teens-13-or-older, 1, 7.85
35672, Finished Airing, Tokyo-MX, Estudio-nao-listado, Manga, Adventure, Comedy, Slice of Life, 13-min.-per-ep., PG-13---Teens-13-or-older, 13, 7.63
35673, Finished Airing, Yomiuri-TV-Enterprise, Estudio-nao-listado, Manga, Adventure, Comedy, Slice of Life, 26-min., PG-13---Teens-13-or-older, 1, 7.49
35676, Finished Airing, LIDENFILMS, Estudio-nao-listado, Manga, Action, Adventure, Demons, 24-min., R---17+-(violence-&amp;-profanity), 1, 5.83
35677, Finished Airing, Lantis, Kyoto-Animation, Novel, Drama, Music, School, 1-hr.-30-min., PG-13---Teens-13-or-older, 1, 8.26
35678, Finished Airing, Lantis, Kyoto-Animation, Novel, Drama, Music, School, 1-hr.-41-min., PG-13---Teens-13-or-older, 1, 7.93
35712, Finished Airing, AT-X, Estudio-nao-listado, Web-manga, Harem, Comedy, Romance, 23-min.-per-ep., PG-13---Teens-13-or-older, 10, 6.40
35714, Finished Airing, TV-Tokyo, Estudio-nao-listado, Original, Dementia, Horror, Supernatural, 4-min.-per-ep., PG-13---Teens-13-or-older, 13, 6.30
35730, Finished Airing, DAX-Production, Estudio-nao-listado, Light-novel, Military, Sci-Fi, Space, 3-min.-per-ep., PG-13---Teens-13-or-older, 12, 4.02
35740, Finished Airing, TV-Asahi, Shin-Ei-Animation, Manga, Adventure, Fantasy, Kids, 1-hr.-49-min., PG---Children, 1, 7.27
35760, Finished Airing, Production-I.G, Production-I.G, Manga, Action, Drama, Fantasy, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 8.49
35776, Finished Airing, Square-Enix, Estudio-nao-listado, Game, Action, Fantasy, Magic, 1-hr.-2-min., PG-13---Teens-13-or-older, 1, 7.13
35788, Finished Airing, Lantis, J.C.-Staff, Manga, Ecchi, School, Shounen, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 8.38
35790, Finished Airing, Glovision, Kinema-Citrus, Light-novel, Action, Adventure, Drama, 24-min.-per-ep., PG-13---Teens-13-or-older, 25, 8.10
35798, Finished Airing, Yomiuri-Telecasting, TMS-Entertainment, Manga, Action, Mystery, Police, 1-hr.-50-min., PG-13---Teens-13-or-older, 1, 7.80
35828, Finished Airing, TBS, Estudio-nao-listado, Web-manga, Slice of Life, Comedy, Supernatural, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.50
35834, Finished Airing, HOTZIPANG, Estudio-nao-listado, Manga, Action, Drama, Historical, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.21
35835, Finished Airing, Half-H.P-Studio, Funimation, Original, Action, Sci-Fi, Drama, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 5.77
35842, Finished Airing, Toho-Visual-Entertainment, Production-I.G, Original, Action, Comedy, Dementia, 2-hr.-15-min., PG-13---Teens-13-or-older, 1, 6.74
35843, Finished Airing, TV-Tokyo, Aniplex, Manga, Action, Sci-Fi, Comedy, 23-min.-per-ep., PG-13---Teens-13-or-older, 13, 8.51
35847, Finished Airing, Mainichi-Broadcasting-System, Funimation, Original, Action, Sci-Fi, Mecha, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.32
35848, Finished Airing, Aniplex, Aniplex, Original, Action, Mecha, Sci-Fi, 1-hr.-51-min., PG-13---Teens-13-or-older, 1, 8.38
35849, Finished Airing, Aniplex, A-1-Pictures, Original, Action, Drama, Mecha, 24-min.-per-ep., PG-13---Teens-13-or-older, 24, 7.48
35857, Finished Airing, Nippon-Television-Network, Estudio-nao-listado, Manga, Action, Adventure, Mystery, 22-min.-per-ep., PG-13---Teens-13-or-older, 24, 7.99
35905, Finished Airing, AT-X, Estudio-nao-listado, Light-novel, Slice of Life, Game, Comedy, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.02
35909, Finished Airing, Medicrie, Estudio-nao-listado, Manga, Adventure, Comedy, Slice of Life, 1-min.-per-ep., PG-13---Teens-13-or-older, 24, 6.19
35928, Finished Airing, Kodansha, Estudio-nao-listado, Manga, Action, Drama, Romance, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 6.87
35968, Finished Airing, Aniplex, A-1-Pictures, Web-manga, Comedy, Romance, Slice of Life, 22-min.-per-ep., PG-13---Teens-13-or-older, 11, 8.04
35972, Finished Airing, TV-Tokyo, A-1-Pictures, Manga, Action, Adventure, Comedy, 23-min.-per-ep., PG-13---Teens-13-or-older, 51, 7.84
35984, Finished Airing, Shochiku, Estudio-nao-listado, Original, Action, Comedy, Drama, 1-hr.-51-min., None, 1, 7.56
35997, Finished Airing, Lantis, Estudio-nao-listado, Light-novel, Fantasy, Magic, School, 23-min.-per-ep., PG-13---Teens-13-or-older, 10, 5.42
35999, Finished Airing, Square-Enix, Estudio-nao-listado, Original, Action, Adventure, Magic, 3-min.-per-ep., PG-13---Teens-13-or-older, 12, 4.70
36000, Finished Airing, Half-H.P-Studio, TMS-Entertainment, Game, Sci-Fi, Adventure, Space, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 5.73
36023, Finished Airing, Aniplex, A-1-Pictures, Game, Action, Fantasy, Supernatural, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 26, 6.65
36027, Finished Airing, AT-X, Funimation, Novel, Mystery, Dementia, Horror, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 5.12
36028, Finished Airing, Magic-Capsule, Funimation, Manga, Action, Adventure, Historical, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 7.79
36029, Finished Airing, NBCUniversal-Entertainment-Japan, Funimation, Manga, Adventure, Demons, Fantasy, 23-min.-per-ep., PG-13---Teens-13-or-older, 23, 5.64
36037, Finished Airing, Lantis, Funimation, Game, Action, Comedy, Ecchi, 23-min.-per-ep., R+---Mild-Nudity, 12, 6.34
36038, Finished Airing, DAX-Production, Funimation, Web-manga, Game, Comedy, Romance, 23-min.-per-ep., PG-13---Teens-13-or-older, 10, 7.75
36040, Currently Airing, Netflix, Toei-Animation, Manga, Sci-Fi, Adventure, Fantasy, 24-min.-per-ep., G---All-Ages, 12, 5.03
36043, Finished Airing, comico, Funimation, Web-manga, Game, Comedy, Romance, 24-min., PG-13---Teens-13-or-older, 1, 7.48
36049, Finished Airing, Pony-Canyon, Funimation, Manga, Slice of Life, Comedy, Shounen, 12-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.96
36094, Finished Airing, Lantis, Lerche, Manga, Fantasy, Seinen, Slice of Life, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.66
36119, Finished Airing, Aoni-Production, Estudio-nao-listado, Game, Comedy, Sports, Fantasy, 3-min., G---All-Ages, 1, 6.37
36124, Finished Airing, Nippon-Columbia, Studio-Deen, Manga, Mystery, Comedy, Horror, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 6.18
36135, Finished Airing, Nihon-Ad-Systems, DLE, Original, Demons, Horror, Parody, 2-min.-per-ep., PG-13---Teens-13-or-older, 25, 5.55
36144, Finished Airing, Tohokushinsha-Film-Corporation, Funimation, Original, Action, Demons, Supernatural, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 24, 7.23
36160, Finished Airing, Tencent-Animation-&amp;-Comics, Estudio-nao-listado, Web-manga, Action, Comedy, Romance, 16-min.-per-ep., R---17+-(violence-&amp;-profanity), 21, 7.88
36185, Finished Airing, Colored-Pencil-Animation-Design, Estudio-nao-listado, Web-manga, Magic, Romance, School, 13-min.-per-ep., PG-13---Teens-13-or-older, 9, 6.73
36194, Finished Airing, Lucent-Pictures-Entertainment, Estudio-nao-listado, Original, Action, Military, Sci-Fi, 1-hr.-40-min., R---17+-(violence-&amp;-profanity), 1, 6.61
36196, Finished Airing, Pony-Canyon, Estudio-nao-listado, Original, Comedy, Fantasy, Parody, 5-min.-per-ep., PG---Children, 12, 6.16
36197, Finished Airing, Yomiuri-Telecasting, Tatsunoko-Production, Manga, Action, Sci-Fi, Seinen, 1-hr.-30-min., None, 1, 6.35
36198, Finished Airing, Studio-Mausu, Estudio-nao-listado, Digital-manga, Ecchi, Romance, School, 4-min.-per-ep., R+---Mild-Nudity, 12, 5.62
36220, Finished Airing, Aniplex, Aniplex, Music, Comedy, Drama, Romance, 23-min.-per-ep., PG-13---Teens-13-or-older, 6, 7.63
36226, Finished Airing, Yaoqi, Estudio-nao-listado, Manga, Action, Comedy, Historical, 12-min.-per-ep., PG-13---Teens-13-or-older, 10, 6.22
36229, Finished Airing, CBS, Estudio-nao-listado, Music, Music, Romance, Fantasy, 28-min., G---All-Ages, 1, 6.18
36232, Finished Airing, Toy's-Factory, Estudio-nao-listado, Other, Action, Music, Mecha, 3-min., G---All-Ages, 1, 6.84
36259, Finished Airing, NHK, Estudio-nao-listado, Other, Comedy, Kids, Slice of Life, 7-min.-per-ep., G---All-Ages, 26, 8.43
36267, Finished Airing, Frontier-Works, Gonzo, Web-manga, Comedy, Mecha, Sci-Fi, 7-min.-per-ep., PG-13---Teens-13-or-older, 13, 6.39
36275, Finished Airing, NAZ, Estudio-nao-listado, Manga, Slice of Life, Demons, Supernatural, 23-min.-per-ep., PG-13---Teens-13-or-older, 2, 8.30
36290, Finished Airing, Tencent-Animation-&amp;-Comics, Estudio-nao-listado, Web-manga, Action, Demons, Fantasy, 16-min.-per-ep., PG-13---Teens-13-or-older, 15, 6.76
36293, Finished Airing, NHK, Estudio-nao-listado, Original, Music, Space, Kids, 2-min., G---All-Ages, 1, 5.39
36296, Finished Airing, Media-Factory, Funimation, Manga, Comedy, Sci-Fi, Seinen, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 8.29
36309, Finished Airing, Lantis, Estudio-nao-listado, Original, Comedy, School, Supernatural, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 5.70
36316, Finished Airing, TBS, Lerche, Light-novel, Action, Fantasy, Game, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.22
36318, Finished Airing, Shanghai-Foch-Film-Culture-Investment, Estudio-nao-listado, Novel, Action, Fantasy, Magic, 18-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.76
36369, Finished Airing, Shochiku, Production-I.G, Novel, Action, Drama, Military, 25-min.-per-ep., R---17+-(violence-&amp;-profanity), 4, 7.77
36370, Finished Airing, Shochiku, Production-I.G, Novel, Action, Military, Sci-Fi, 25-min.-per-ep., None, 4, 7.91
36395, Finished Airing, NHK, Estudio-nao-listado, Original, Adventure, Music, Samurai, 3-min., G---All-Ages, 1, 5.45
36407, Finished Airing, Sotsu, Estudio-nao-listado, Light-novel, Action, Comedy, Magic, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.74
36432, Finished Airing, Square-Enix, J.C.-Staff, Light-novel, Action, Magic, Sci-Fi, 23-min.-per-ep., PG-13---Teens-13-or-older, 26, 6.78
36440, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Game, Action, Adventure, Fantasy, 14-min.-per-ep., None, 26, 5.87
36455, Finished Airing, Tencent-Animation-&amp;-Comics, Estudio-nao-listado, Web-manga, Adventure, Super Power, Supernatural, 13-min.-per-ep., PG-13---Teens-13-or-older, 15, 6.72
36456, Finished Airing, TOHO-animation, Bones, Manga, Action, Comedy, School, 23-min.-per-ep., PG-13---Teens-13-or-older, 25, 8.57
36466, Finished Airing, Sonilude, Toei-Animation, Original, Action, Adventure, Comedy, 1-hr.-38-min., PG-13---Teens-13-or-older, 1, 7.29
36470, Finished Airing, Media-Factory, Estudio-nao-listado, Original, Comedy, Romance, Slice of Life, 23-min.-per-ep., PG-13---Teens-13-or-older, 13, 7.59
36474, Finished Airing, Aniplex, A-1-Pictures, Light-novel, Action, Game, Adventure, 24-min.-per-ep., PG-13---Teens-13-or-older, 24, 7.66
36475, Finished Airing, Aniplex, Aniplex, Light-novel, Action, Fantasy, Game, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.24
36511, Finished Airing, Marvelous, Studio-Pierrot, Manga, Action, Psychological, Supernatural, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 6.96
36515, Finished Airing, Genco, Funimation, Visual-novel, Action, Super Power, Magic, 28-min.-per-ep., R---17+-(violence-&amp;-profanity), 6, 6.13
36516, Finished Airing, Kadokawa-Shoten, Estudio-nao-listado, Light-novel, Action, Drama, Romance, 24-min.-per-ep., PG-13---Teens-13-or-older, 20, 6.26
36522, Finished Airing, Tencent-Animation-&amp;-Comics, Estudio-nao-listado, Web-manga, Action, Comedy, Magic, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.56
36524, Finished Airing, Genco, Funimation, Visual-novel, Action, Super Power, Magic, 23-min., PG-13---Teens-13-or-older, 1, 5.38
36528, Finished Airing, Pink-Pineapple, Estudio-nao-listado, Visual-novel, Sci-Fi, Romance, School, 29-min., R+---Mild-Nudity, 1, 5.80
36531, Finished Airing, TBS, OLM, Other, Action, Sci-Fi, Kids, 24-min.-per-ep., PG---Children, 76, 6.86
36536, Finished Airing, NBCUniversal-Entertainment-Japan, Estudio-nao-listado, Original, Music, Slice of Life, School, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.90
36537, Finished Airing, NBCUniversal-Entertainment-Japan, Estudio-nao-listado, Original, Music, Slice of Life, School, 26-min., None, 1, 6.92
36538, Finished Airing, Aniplex, Aniplex, Manga, Slice of Life, Demons, Supernatural, 1-hr.-44-min., PG-13---Teens-13-or-older, 1, 8.39
36539, Finished Airing, Sotsu, Estudio-nao-listado, Original, Comedy, Romance, School, 15-min., PG-13---Teens-13-or-older, 1, 7.31
36544, Finished Airing, bilibili, Estudio-nao-listado, Manga, Action, Comedy, Supernatural, 15-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.59
36545, Finished Airing, Tencent-Animation-&amp;-Comics, Estudio-nao-listado, Manga, Comedy, Historical, Supernatural, 15-min.-per-ep., PG-13---Teens-13-or-older, 15, 7.65
36548, Finished Airing, Twin-Engine, Estudio-nao-listado, Manga, Psychological, Supernatural, Drama, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 7.12
36556, Finished Airing, Showgate, White-Fox, Manga, Action, Comedy, Historical, Unknown, R---17+-(violence-&amp;-profanity), 1, 6.73
36561, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Novel, Action, Adventure, Demons, 25-min.-per-ep., PG-13---Teens-13-or-older, 2, 7.53
36563, Finished Airing, TBS, TMS-Entertainment, Original, Action, Sci-Fi, Slice of Life, 24-min.-per-ep., R---17+-(violence-&amp;-profanity), 13, 8.01
36565, Finished Airing, NHK, OLM, Manga, Comedy, Sports, Drama, 24-min.-per-ep., PG-13---Teens-13-or-older, 25, 7.57
36593, Finished Airing, Asahi-Broadcasting, Toei-Animation, Original, Action, Magic, Fantasy, 24-min.-per-ep., G---All-Ages, 49, 7.86
36629, Finished Airing, DAX-Production, Estudio-nao-listado, 4-koma-manga, Slice of Life, Comedy, School, 4-min., PG-13---Teens-13-or-older, 1, 6.36
36632, Finished Airing, MAGES., Estudio-nao-listado, Light-novel, Comedy, Romance, Ecchi, 23-min.-per-ep., PG-13---Teens-13-or-older, 10, 5.06
36649, Finished Airing, Aniplex, Aniplex, Manga, Action, Adventure, Drama, 22-min.-per-ep., R---17+-(violence-&amp;-profanity), 24, 8.31
36652, Finished Airing, NHK, Estudio-nao-listado, Manga, Adventure, Music, Comedy, 25-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.43
36653, Finished Airing, Lantis, Kyoto-Animation, Light-novel, Sports, Drama, School, 24-min.-per-ep., PG-13---Teens-13-or-older, 13, 7.59
36654, Finished Airing, TMS-Entertainment, TMS-Entertainment, Novel, Slice of Life, Comedy, Historical, 25-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.76
36655, Finished Airing, Souten-no-Ken, Estudio-nao-listado, Manga, Action, Historical, Martial Arts, 22-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 5.72
36688, Finished Airing, AT-X, Estudio-nao-listado, Light-novel, Action, Ecchi, Fantasy, 59-min., R+---Mild-Nudity, 1, 7.06
36692, Finished Airing, Memory-Tech, Estudio-nao-listado, Original, Sci-Fi, Music, Slice of Life, 7-min.-per-ep., PG-13---Teens-13-or-older, 4, 6.98
36726, Finished Airing, Aniplex, Aniplex, Manga, Comedy, Ecchi, Harem, 23-min.-per-ep., R+---Mild-Nudity, 12, 7.19
36757, Finished Airing, Sanrio, Estudio-nao-listado, Original, Fantasy, Magic, Music, 3-min., G---All-Ages, 1, 6.35
36762, Finished Airing, Tencent-Animation-&amp;-Comics, Estudio-nao-listado, Web-manga, Action, Adventure, Mystery, 22-min.-per-ep., R---17+-(violence-&amp;-profanity), 26, 6.64
36816, Finished Airing, Toho, Estudio-nao-listado, Original, Action, Adventure, Sci-Fi, 1-hr.-41-min., R---17+-(violence-&amp;-profanity), 1, 6.84
36823, Finished Airing, Tencent-Animation-&amp;-Comics, Estudio-nao-listado, Manga, Comedy, Historical, Supernatural, 14-min.-per-ep., PG-13---Teens-13-or-older, 8, 7.64
36824, Finished Airing, Tencent-Animation-&amp;-Comics, Estudio-nao-listado, Manga, Comedy, Historical, Romance, 17-min.-per-ep., PG-13---Teens-13-or-older, 26, 7.60
36838, Finished Airing, TV-Tokyo, Aniplex, Manga, Action, Sci-Fi, Comedy, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 8.74
36840, Finished Airing, Cosmic-Ray, Estudio-nao-listado, Web-manga, Ecchi, Romance, School, 6-min.-per-ep., R+---Mild-Nudity, 12, 5.60
36848, Finished Airing, Tencent-Animation-&amp;-Comics, Estudio-nao-listado, Web-manga, Harem, Comedy, Romance, 19-min.-per-ep., PG-13---Teens-13-or-older, 15, 7.41
36858, Finished Airing, Tohokushinsha-Film-Corporation, Estudio-nao-listado, Original, Action, Demons, Fantasy, 1-hr.-22-min., PG-13---Teens-13-or-older, 1, 5.86
36861, Finished Airing, XFLAG, Estudio-nao-listado, Original, Action, Police, Magic, 40-min., G---All-Ages, 1, 6.09
36882, Finished Airing, AT-X, Funimation, Light-novel, Action, Adventure, Fantasy, 23-min.-per-ep., PG-13---Teens-13-or-older, 13, 6.53
36884, Finished Airing, Warner-Bros.-Japan, Bones, Original, Military, Comedy, Drama, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.48
36896, Finished Airing, TOHO-animation, Bones, Manga, Action, Shounen, Super Power, 1-hr.-36-min., PG-13---Teens-13-or-older, 1, 8.08
36902, Finished Airing, Genco, Estudio-nao-listado, Web-manga, Comedy, Fantasy, Magic, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.69
36910, Finished Airing, Tencent-Penguin-Pictures, Estudio-nao-listado, Manga, Action, Historical, Supernatural, 16-min.-per-ep., PG-13---Teens-13-or-older, 42, 7.75
36934, Finished Airing, TV-Tokyo, Estudio-nao-listado, Manga, Action, Sports, Shounen, 22-min.-per-ep., G---All-Ages, 52, 7.54
36936, Finished Airing, Toho, Estudio-nao-listado, Original, Adventure, Drama, Fantasy, 1-hr.-38-min., G---All-Ages, 1, 7.43
36943, Finished Airing, Ichijinsha, Estudio-nao-listado, Manga, Comedy, Ecchi, Shoujo Ai, 3-min.-per-ep., R+---Mild-Nudity, 12, 5.62
36949, Finished Airing, Shueisha, J.C.-Staff, Manga, Ecchi, School, Shounen, 24-min.-per-ep., PG-13---Teens-13-or-older, 12, 8.32
36951, Finished Airing, Bandai-Visual, Bandai-Visual, Manga, Action, Adventure, Comedy, 15-min.-per-ep., PG-13---Teens-13-or-older, 2, 7.47
36955, Finished Airing, Bandai-Namco-Entertainment, Estudio-nao-listado, Game, Comedy, Fantasy, Parody, 3-min.-per-ep., PG-13---Teens-13-or-older, 8, 6.28
